text,url,table_index,link_type
"England in New Zealand ODI Series, 1987/88",https://www.espncricinfo.com/series/england-in-new-zealand-odi-series-1987-88-60882/match-schedule-fixtures-and-results,1,series
"Pakistan in West Indies ODI Series, 1987/88",https://www.espncricinfo.com/series/pakistan-in-west-indies-odi-series-1987-88-60883/match-schedule-fixtures-and-results,1,series
"Sharjah Cup (India, New Zealand, Sri Lanka in United Arab Emirates), 1987/88",https://www.espncricinfo.com/series/sharjah-cup-1987-88-60884/match-schedule-fixtures-and-results,1,series
"Texaco Trophy (West Indies in England), 1988",https://www.espncricinfo.com/series/texaco-trophy-1988-60885/match-schedule-fixtures-and-results,1,series
"Texaco Trophy (Sri Lanka in England), 1988",https://www.espncricinfo.com/series/texaco-trophy-1988-60886/match-schedule-fixtures-and-results,1,series
"Australia in Pakistan ODI Series, 1988/89",https://www.espncricinfo.com/series/australia-in-pakistan-odi-series-1988-89-60887/match-schedule-fixtures-and-results,1,series
"Champions Trophy (India, Pakistan, West Indies in United Arab Emirates), 1988/89",https://www.espncricinfo.com/series/champions-trophy-1988-89-60888/match-schedule-fixtures-and-results,1,series
"Wills Asia Cup (Bangladesh, India, Pakistan, Sri Lanka in Bangladesh), 1988/89",https://www.espncricinfo.com/series/wills-asia-cup-1988-89-60889/match-schedule-fixtures-and-results,1,series
"New Zealand in India ODI Series, 1988/89",https://www.espncricinfo.com/series/new-zealand-in-india-odi-series-1988-89-60891/match-schedule-fixtures-and-results,1,series
"Benson & Hedges World Series (Australia, Pakistan, West Indies in Australia), 1988/89",https://www.espncricinfo.com/series/benson-hedges-world-series-1988-89-60890/match-schedule-fixtures-and-results,1,series
"Dunedin Test Replacement Match (Pakistan in New Zealand), 1988/89",https://www.espncricinfo.com/series/dunedin-test-replacement-match-1988-89-60892/match-schedule-fixtures-and-results,1,series
"Pakistan in New Zealand ODI Series, 1988/89",https://www.espncricinfo.com/series/pakistan-in-new-zealand-odi-series-1988-89-60893/match-schedule-fixtures-and-results,1,series
"India in West Indies ODI Series, 1988/89",https://www.espncricinfo.com/series/india-in-west-indies-odi-series-1988-89-60894/match-schedule-fixtures-and-results,1,series
"Sharjah Cup (Pakistan, Sri Lanka in United Arab Emirates), 1988/89",https://www.espncricinfo.com/series/sharjah-cup-1988-89-60895/match-schedule-fixtures-and-results,1,series
"Texaco Trophy (Australia in England), 1989",https://www.espncricinfo.com/series/texaco-trophy-1989-60896/match-schedule-fixtures-and-results,1,series
"Champions Trophy (India, Pakistan, West Indies in United Arab Emirates), 1989/90",https://www.espncricinfo.com/series/champions-trophy-1989-90-60897/match-schedule-fixtures-and-results,1,series
"MRF World Series (Nehru Cup) (Australia, England, India, Pakistan, Sri Lanka, West Indies in India), 1989/90",https://www.espncricinfo.com/series/mrf-world-series-nehru-cup-1989-90-60898/match-schedule-fixtures-and-results,1,series
